A_TOTAL_(m2),N_HABITACIONES,N_BAÑOS,N_ASEOS,TIENE_LAVADERO,TIENE_ENTRADA,A_SALON,A_COCINA,A_DORM1,A_DORM2,A_DORM3,A_DORM4,A_DORM5,A_DORM6,TOTAL_A_HABITACIONES,A_BAÑO1,A_BAÑO2,A_BAÑO3,A_BAÑO4,TOTAL_A_BAÑOS,A_ASEO,A_ENTRADA,A_PASILLO,A_LAVADERO
37.1,1,1,0,True,False,16.4,4.1,8.9,0.0,0.0,0.0,0.0,0.0,8.9,3.7,0.0,0.0,0.0,3.7,0.0,0.0,2.8,1.2
38.7,2,1,0,False,False,10.08,2.52,11.1,8.4,0.0,0.0,0.0,0.0,19.5,4.2,0.0,0.0,0.0,4.2,0.0,0.0,2.4,0.0
43.1,1,1,0,False,False,15.5,7.7,12.5,0.0,0.0,0.0,0.0,0.0,12.5,4.5,0.0,0.0,0.0,4.5,0.0,0.0,2.9,0.0
44.0,1,1,0,True,True,17.68,4.42,11.1,0.0,0.0,0.0,0.0,0.0,11.1,4.5,0.0,0.0,0.0,4.5,0.0,3.2,2.1,1.0
46.7,2,1,0,False,True,15.52,3.88,10.15,7.65,0.0,0.0,0.0,0.0,17.8,3.65,0.0,0.0,0.0,3.65,0.0,2.8,3.05,0.0
47.65,1,1,0,False,True,18.0,7.8,11.05,0.0,0.0,0.0,0.0,0.0,11.05,3.5,0.0,0.0,0.0,3.5,0.0,3.85,3.45,0.0
49.56,2,2,0,False,False,17.9,6.4,9.86,8.4,0.0,0.0,0.0,0.0,18.259999999999998,3.0,2.8,0.0,0.0,5.8,0.0,0.0,1.2,0.0
49.6,2,1,0,False,True,16.05,7.15,10.45,6.3,0.0,0.0,0.0,0.0,16.75,4.6,0.0,0.0,0.0,4.6,0.0,2.8,2.25,0.0
50.21,2,2,0,False,False,17.232,4.308,10.2,8.23,0.0,0.0,0.0,0.0,18.43,3.98,2.59,0.0,0.0,6.57,0.0,0.0,3.67,0.0
50.77,2,1,0,False,False,17.104,4.276,12.3,9.72,0.0,0.0,0.0,0.0,22.020000000000003,5.47,0.0,0.0,0.0,5.47,0.0,0.0,1.9,0.0
51.35,2,2,0,True,False,17.4,4.35,11.8,6.55,0.0,0.0,0.0,0.0,18.35,4.5,3.9,0.0,0.0,8.4,0.0,0.0,2.25,0.6
51.7,2,1,0,False,True,17.9,7.0,11.4,7.85,0.0,0.0,0.0,0.0,19.25,3.5,0.0,0.0,0.0,3.5,0.0,2.2,1.85,0.0
52.53,2,2,0,False,False,16.192,4.048,12.52,8.8,0.0,0.0,0.0,0.0,21.32,5.14,3.73,0.0,0.0,8.87,0.0,0.0,2.1,0.0
53.27,2,1,0,True,True,16.77,6.14,10.71,8.28,0.0,0.0,0.0,0.0,18.990000000000002,3.67,0.0,0.0,0.0,3.67,0.0,2.24,3.04,2.42
53.32,2,2,0,True,False,16.048,4.012,10.87,8.79,0.0,0.0,0.0,0.0,19.659999999999997,3.3,3.27,0.0,0.0,6.57,0.0,0.0,5.96,1.07
53.45,2,2,0,False,False,18.888,4.722,11.83,8.69,0.0,0.0,0.0,0.0,20.52,3.98,3.11,0.0,0.0,7.09,0.0,0.0,2.23,0.0
53.49,2,1,0,False,True,17.19,7.26,10.45,9.82,0.0,0.0,0.0,0.0,20.27,3.5,0.0,0.0,0.0,3.5,0.0,2.84,2.43,0.0
53.83,2,1,0,False,True,17.38,7.0,12.04,8.0,0.0,0.0,0.0,0.0,20.04,4.07,0.0,0.0,0.0,4.07,0.0,3.0,2.34,0.0
53.92,2,1,0,False,True,17.76,4.44,11.47,10.96,0.0,0.0,0.0,0.0,22.43,5.12,0.0,0.0,0.0,5.12,0.0,2.21,1.96,0.0
53.95,2,1,0,False,False,20.0,5.0,12.01,9.98,0.0,0.0,0.0,0.0,21.990000000000002,4.31,0.0,0.0,0.0,4.31,0.0,0.0,2.65,0.0
53.97,2,1,0,False,False,16.176,4.044,12.87,9.23,0.0,0.0,0.0,0.0,22.1,5.27,0.0,0.0,0.0,5.27,0.0,0.0,6.38,0.0
54.05,2,1,0,False,False,18.21,7.05,12.06,11.06,0.0,0.0,0.0,0.0,23.12,3.84,0.0,0.0,0.0,3.84,0.0,0.0,1.83,0.0
54.15,2,1,0,False,False,16.472,4.118,12.87,9.15,0.0,0.0,0.0,0.0,22.02,5.27,0.0,0.0,0.0,5.27,0.0,0.0,6.27,0.0
54.54,1,1,0,False,False,27.912,6.978,12.86,0.0,0.0,0.0,0.0,0.0,12.86,3.64,0.0,0.0,0.0,3.64,0.0,0.0,3.15,0.0
55.05,2,1,0,False,True,18.4,7.0,10.4,8.2,0.0,0.0,0.0,0.0,18.6,3.45,0.0,0.0,0.0,3.45,0.0,2.25,5.35,0.0
55.39,2,1,0,False,True,16.71,8.01,12.08,8.72,0.0,0.0,0.0,0.0,20.8,4.48,0.0,0.0,0.0,4.48,0.0,1.12,4.27,0.0
55.96,2,1,0,False,False,19.28,4.82,11.58,10.53,0.0,0.0,0.0,0.0,22.11,3.59,0.0,0.0,0.0,3.59,0.0,0.0,6.16,0.0
56.24,2,1,0,False,True,17.33,7.0,12.01,8.6,0.0,0.0,0.0,0.0,20.61,4.66,0.0,0.0,0.0,4.66,0.0,0.93,5.71,0.0
56.27,2,1,0,True,True,16.32,7.19,10.07,8.21,0.0,0.0,0.0,0.0,18.28,3.83,0.0,0.0,0.0,3.83,0.0,4.35,4.41,1.89
56.91,2,1,0,False,True,17.15,8.6,11.75,9.96,0.0,0.0,0.0,0.0,21.71,3.51,0.0,0.0,0.0,3.51,0.0,3.42,2.52,0.0
57.1,2,1,0,True,True,16.0,7.0,11.1,8.7,0.0,0.0,0.0,0.0,19.799999999999997,4.2,0.0,0.0,0.0,4.2,0.0,2.8,5.3,2.0
57.16,2,1,0,False,True,16.68,7.61,13.0,8.1,0.0,0.0,0.0,0.0,21.1,4.59,0.0,0.0,0.0,4.59,0.0,3.15,4.03,0.0
57.21,2,2,0,False,False,20.0,5.0,12.35,8.25,0.0,0.0,0.0,0.0,20.6,3.67,3.44,0.0,0.0,7.109999999999999,0.0,0.0,4.5,0.0
57.24,2,1,0,True,True,17.24,7.19,10.07,8.21,0.0,0.0,0.0,0.0,18.28,3.83,0.0,0.0,0.0,3.83,0.0,4.35,4.46,1.89
57.25,2,1,0,False,True,16.2,7.05,12.8,9.45,0.0,0.0,0.0,0.0,22.25,3.4,0.0,0.0,0.0,3.4,0.0,3.55,4.8,0.0
57.3,2,2,0,False,False,19.24,4.81,13.3,10.3,0.0,0.0,0.0,0.0,23.6,4.15,3.7,0.0,0.0,7.8500000000000005,0.0,0.0,1.8,0.0
57.31,2,2,0,False,True,18.33,8.23,12.93,8.76,0.0,0.0,0.0,0.0,21.689999999999998,3.36,2.37,0.0,0.0,5.73,0.0,1.1,2.23,0.0
57.4,4,2,0,True,False,15.52,3.88,10.2,6.2,6.2,2.4,0.0,0.0,24.999999999999996,3.5,2.3,0.0,0.0,5.8,0.0,0.0,6.1,1.1
57.44,2,1,0,True,True,16.33,7.19,10.54,9.5,0.0,0.0,0.0,0.0,20.04,3.44,0.0,0.0,0.0,3.44,0.0,4.8,3.75,1.89
57.97,2,1,0,True,False,17.62,7.87,12.63,9.36,0.0,0.0,0.0,0.0,21.990000000000002,3.54,0.0,0.0,0.0,3.54,0.0,0.0,2.5,4.45
58.0,1,1,0,True,True,25.36,6.34,12.4,0.0,0.0,0.0,0.0,0.0,12.4,5.0,0.0,0.0,0.0,5.0,0.0,2.8,3.0,3.1
58.0,2,2,0,False,False,19.2,4.8,13.7,10.4,0.0,0.0,0.0,0.0,24.1,4.35,3.7,0.0,0.0,8.05,0.0,0.0,1.85,0.0
58.35,2,1,0,False,True,18.4,7.95,14.54,8.93,0.0,0.0,0.0,0.0,23.47,3.98,0.0,0.0,0.0,3.98,0.0,2.3,2.25,0.0
58.46,2,1,0,False,True,23.11,7.42,10.54,8.92,0.0,0.0,0.0,0.0,19.46,3.97,0.0,0.0,0.0,3.97,0.0,2.26,2.24,0.0
58.5,2,1,0,False,True,16.9,8.25,12.05,9.35,0.0,0.0,0.0,0.0,21.4,4.5,0.0,0.0,0.0,4.5,0.0,2.5,4.95,0.0
58.6,2,2,0,False,False,22.08,5.52,13.0,8.9,0.0,0.0,0.0,0.0,21.9,3.4,3.3,0.0,0.0,6.699999999999999,0.0,0.0,2.4,0.0
58.96,2,1,0,False,False,21.608,5.402,13.33,10.36,0.0,0.0,0.0,0.0,23.689999999999998,5.88,0.0,0.0,0.0,5.88,0.0,0.0,2.38,0.0
59.0,2,2,0,False,False,22.24,5.56,13.0,9.0,0.0,0.0,0.0,0.0,22.0,3.4,3.4,0.0,0.0,6.8,0.0,0.0,2.4,0.0
59.18,2,1,0,False,True,16.3,13.38,10.33,8.7,0.0,0.0,0.0,0.0,19.03,3.82,0.0,0.0,0.0,3.82,0.0,3.17,3.48,0.0
59.3,2,1,0,False,True,17.7,10.39,10.33,8.7,0.0,0.0,0.0,0.0,19.03,3.82,0.0,0.0,0.0,3.82,0.0,4.88,3.48,0.0
59.41,2,1,0,True,True,18.78,6.27,10.67,10.07,0.0,0.0,0.0,0.0,20.740000000000002,3.88,0.0,0.0,0.0,3.88,0.0,3.82,3.73,2.19
59.45,2,1,0,False,True,16.55,7.35,11.7,9.1,0.0,0.0,0.0,0.0,20.799999999999997,4.55,0.0,0.0,0.0,4.55,0.0,4.75,5.45,0.0
